"User","From","Until"
"Guerillero",2012-11-08,2013-02-08
"SarahStierch",2012-11-08,2013-02-08
"Superzerocool",2012-11-08,2013-02-08
"Restu20",2012-11-08,2013-02-08
"Sebleouf",2012-11-08,2013-02-08
"Emijrp",2012-11-08,2013-02-08
"Seewolf",2012-11-08,2013-02-08
"Merlissimo",2012-11-08,2013-08-01
"Wiki13",2012-11-08,2013-12-09
"Sven Manguard",2012-11-08,2015-01-01
"Benoit Rochon",2012-11-08,2015-02-01
"Tpt",2012-11-08,2015-02-01
"Raymond",2012-11-08,2015-05-02
"Lomita",2012-11-09,2013-01-26
"Grondin",2012-11-09,2013-02-03
"ShinePhantom",2012-11-10,2013-01-31
"Yiyi",2012-11-10,2013-02-10
"Vituzzu",2012-11-10,2014-12-01
"Jitrixis",2012-11-10,2015-03-01
"Hydriz",2012-11-12,2013-01-28
"Zanka",2012-11-12,2013-02-12
"Pigsonthewing",2012-11-13,2013-02-12
"Yair rand",2012-11-13,2014-09-03
"Jdforrester",2012-11-13,2015-01-01
"Leag",2012-11-15,2013-02-12
"Koavf",2012-11-15,2013-02-12
"Danny B.",2012-11-15,2013-02-12
"TBloemink",2012-11-15,2014-04-01
"TBloemink",2014-05-21,2014-10-01
"Raystorm",2012-11-16,2013-02-17
"Kaldari",2012-11-16,2013-02-17
"Bene*",2012-11-17,2016-08-31
"Bináris",2012-11-18,2013-02-18
"Rxy",2012-11-18,2014-10-23
"Hosiryuhosi",2012-11-18,2014-10-23
"Morten Haan",2012-11-22,2013-02-22
"Lukas²³",2012-11-22,2014-01-01
"CennoxX",2012-11-22,2014-04-30
"Moe Epsilon",2012-11-22,2014-11-02
"Theopolisme",2012-11-23,2013-01-04
"Riley Huntley",2012-11-23,2013-04-29
"NuvieK",2012-11-23,2013-11-30
"Stevenliuyi",2012-11-29,2014-04-30
"Inkowik",2012-11-29,2015-05-15
"Leyo",2012-12-03,2014-08-04
"Amire80",2012-12-04,2013-09-30
"Karol007",2012-12-24,2014-04-30
"Techman224",2013-01-05,2014-11-02
"Hazard-SJ",2013-01-08,2018-03-01
"Sk!d",2013-01-09,2015-03-01
"Iste Praetor",2013-01-11,2013-11-01
"Legoktm",2013-02-17,2015-03-01
"Addshore",2013-02-23,2017-01-01
"Jon Harald Søby",2013-02-23,2013-11-01
"Jon Harald Søby",2014-08-18,2017-03-31
"PinkAmpersand",2013-02-26,2014-06-30
"Francophonie&Androphilie",2013-02-26,2014-06-30
"JAn Dudík",2013-02-28,2015-05-14
"Reza1615",2013-03-01,2013-03-15
"Snow Blizzard",2013-03-09,2015-03-31
"Mark91",2013-03-09,2015-03-31
"Whym",2013-03-12,2017-11-01
"Jeblad",2013-03-13,2013-09-30
"Delusion23",2013-03-14,2017-06-30
"Meisam",2013-03-17,2013-09-30
"Bill william compton",2013-03-17,2015-01-01
"Izno",2013-03-24,2014-05-19
"Ricordisamoa",2013-04-03,2016-12-01
"Hahc21",2013-04-04,2015-08-01
"Courcelles",2013-04-12,2017-08-31
"Nouill",2013-04-14,2015-03-04
"جواد",2013-04-20,2014-08-04
"Saehrimnir",2013-04-26,2016-09-30
"John F. Lewis",2013-04-29,2016-03-01
"FrigidNinja",2013-05-04,2013-06-07
"Akkakk",2013-05-04,2014-12-01
"Reaper35",2013-05-05,2015-01-01
"TCN7JM",2013-05-22,2016-03-01
"Thecatchernumbersevenjooooemauer",2013-05-22,2016-03-01
"Place Clichy",2013-05-29,2015-06-30
"Alan ffm",2013-06-01,2015-05-31
"Tobias1984",2013-06-02,2015-03-01
"Mattbr",2013-06-03,2014-01-01
"Soulkeeper",2013-06-04,2015-03-31
"DaniDF1995",2013-06-14,2014-01-01
"Scott5114",2013-06-25,2016-03-01
"Cycn",2013-07-01,2014-12-08
"Florn88",2013-07-06,2015-03-01
"Nizil Shah",2013-07-14,2015-01-01
"Vyom25",2013-07-15,2015-01-01
"Chrumps",2013-07-20,2016-04-30
"Littledogboy",2013-07-22,2014-09-30
"Ayack",2013-08-02,2016-06-30
"SPQRobin",2013-08-23,2015-10-01
"Cheers!",2013-08-30,2016-01-01
"LadyInGrey",2013-09-01,2017-03-31
"Denny",2013-10-04,2014-04-30
"Jakec",2013-10-04,2015-10-01
"King jakob c 2",2013-10-04,2015-10-01
"Fomafix",2013-12-14,2017-12-01
"Innocent bystander",2014-01-10,2014-06-10
"Innocent bystander",2016-01-07,2016-09-16
"Lavallen",2014-01-10,2014-06-10
"Lavallen",2016-01-07,2016-09-16
"Mushroom",2014-10-21,2017-05-31
"ElfjeTwaalfje",2014-03-11,2015-03-31
"JurgenNL",2014-04-29,2014-08-29
"FakirNL",2014-06-03,2017-01-01
"555",2014-06-13,2015-05-31
"Calak",2014-06-17,2017-03-01
"Andre Engels",2014-06-19,2018-03-01
"PMG",2014-06-23,2015-05-31
"Dr Zimbu",2014-06-24,2014-09-05
"콩가루",2014-06-25,2016-09-30
"Konggaru",2014-06-25,2016-09-30
"Gabbe",2014-08-03,2015-03-01
"Steenth",2014-09-02,2016-09-30
"Caliburn",2015-01-16,2017-03-01
"Edoderoo",2015-01-22,2017-01-22
"Haplology",2015-03-10,2015-11-01
"Pyb",2017-01-09,2017-08-31
